sale_id,product_id,customer_id,sale_price,quantity,sale_date,total_revenue,sentiment_score,review_date,VIP_status
1001,P101,C_001,150.0,2,2023-01-15,300.0,4.5,2023-01-16,Non-VIP
1002,P102,C_002,75.0,3,2023-01-20,225.0,4.5,2023-02-05,Non-VIP
1004,P101,C_003,150.0,4,2023-01-02,600.0,3.7,2023-02-18,Non-VIP
1005,P104,C_004,30.0,1,2023-05-02,30.0,3.9,2023-02-01,Non-VIP
1006,P102,C_005,75.0,2,2023-10-02,150.0,4.0,2023-02-11,Non-VIP
1008,P101,C_006,150.0,3,2023-02-20,450.0,4.7,2023-03-24,Non-VIP
1010,P104,C_008,30.0,5,2023-01-03,150.0,4.0,2023-03-02,Non-VIP
1011,P102,C_009,75.0,1,2023-05-03,75.0,1.6,2023-02-12,Non-VIP
1012,P105,C_001,120.0,3,2023-10-03,360.0,2.5,2023-03-11,Non-VIP
1013,P103,C_010,250.5,1,2023-03-15,250.5,3.0,2023-04-01,Non-VIP
1016,P105,C_065,150.0,1,2023-12-01,150.0,4.4,2023-01-07,VIP
1017,P102,C_075,120.0,1,2023-03-13,120.0,1.0,2023-03-03,VIP
1021,P101,C_056,250.5,5,2023-03-02,1252.5,4.6,2023-03-10,VIP
1022,P104,C_079,150.0,4,2023-11-01,600.0,3.1,2023-02-27,VIP
1023,P103,C_091,120.0,3,2023-03-15,360.0,3.0,2023-02-24,Non-VIP
1025,P102,C_023,30.0,3,2023-02-28,90.0,3.9,2023-02-26,VIP
1026,P103,C_031,250.5,3,2023-01-27,751.5,3.0,2023-02-25,VIP
1030,P103,C_018,75.0,1,2023-02-10,75.0,1.4,2023-03-31,Non-VIP
1031,P103,C_019,75.0,5,2023-10-02,375.0,1.3,2023-01-28,Non-VIP
1034,P105,C_065,120.0,4,2023-02-16,480.0,4.4,2023-01-07,VIP
1037,P101,C_060,30.0,5,2023-01-03,150.0,2.1,2023-03-17,VIP
1038,P103,C_081,150.0,1,2023-01-15,150.0,1.9,2023-03-15,VIP
1040,P104,C_031,30.0,1,2023-03-02,30.0,2.8,2023-02-18,VIP
1041,P102,C_075,150.0,1,2023-08-02,150.0,1.0,2023-03-03,VIP
1042,P105,C_088,75.0,2,2023-02-17,150.0,3.2,2023-01-05,VIP
1043,P105,C_078,150.0,5,2023-02-11,750.0,4.9,2023-03-26,VIP
1044,P101,C_025,250.5,3,2023-01-31,751.5,3.9,2023-03-10,VIP
1046,P105,C_027,75.0,1,2023-02-03,75.0,1.2,2023-01-14,VIP
1049,P103,C_067,120.0,4,2023-01-16,480.0,2.6,2023-03-31,VIP
1051,P102,C_086,75.0,1,2023-10-01,75.0,3.5,2023-03-30,Non-VIP
1052,P101,C_040,150.0,1,2023-12-02,150.0,1.3,2023-04-01,Non-VIP
1053,P105,C_041,250.5,1,2023-04-03,250.5,4.6,2023-03-15,Non-VIP
1055,P102,C_071,30.0,2,2023-01-13,60.0,4.1,2023-01-14,VIP
1056,P104,C_056,30.0,4,2023-01-03,120.0,2.6,2023-03-12,VIP
1058,P104,C_054,150.0,2,2023-01-25,300.0,1.9,2023-03-17,VIP
1059,P105,C_068,75.0,4,2023-01-24,300.0,2.3,2023-01-22,VIP
1061,P101,C_094,120.0,1,2023-12-01,120.0,4.9,2023-03-14,Non-VIP
1062,P102,C_063,30.0,4,2023-01-28,120.0,3.2,2023-03-27,Non-VIP
1064,P104,C_047,30.0,1,2023-03-13,30.0,4.5,2023-03-15,Non-VIP
1066,P105,C_080,150.0,1,2023-10-02,150.0,1.5,2023-03-27,VIP
1071,P104,C_095,120.0,5,2023-03-08,600.0,3.5,2023-03-26,VIP
1073,P103,C_061,75.0,1,2023-03-24,75.0,2.8,2023-02-08,Non-VIP
1075,P105,C_023,150.0,5,2023-01-28,750.0,1.5,2023-03-26,VIP
1076,P103,C_027,250.5,1,2023-02-01,250.5,2.1,2023-02-26,VIP
1077,P103,C_031,30.0,5,2023-04-01,150.0,3.0,2023-02-25,VIP
1078,P105,C_094,120.0,1,2023-03-27,120.0,4.4,2023-02-13,Non-VIP
1080,P101,C_081,75.0,3,2023-06-02,225.0,4.1,2023-03-30,VIP
1081,P102,C_054,75.0,1,2023-03-23,75.0,4.7,2023-03-22,VIP
1082,P105,C_073,250.5,1,2023-12-01,250.5,3.6,2023-03-31,VIP
1083,P104,C_046,150.0,1,2023-12-02,150.0,4.6,2023-03-24,VIP
1085,P104,C_082,150.0,1,2023-10-01,150.0,2.6,2023-02-25,Non-VIP
1088,P101,C_056,75.0,1,2023-01-02,75.0,4.6,2023-03-10,VIP
1089,P101,C_056,120.0,4,2023-03-21,480.0,4.6,2023-03-10,VIP
1091,P102,C_053,30.0,1,2023-02-01,30.0,3.3,2023-03-29,VIP
1092,P102,C_024,30.0,1,2023-02-03,30.0,4.3,2023-03-16,Non-VIP
1093,P102,C_069,250.5,3,2023-01-30,751.5,3.8,2023-02-20,VIP
1094,P101,C_095,75.0,4,2023-02-12,300.0,3.3,2023-03-30,VIP
1096,P105,C_053,150.0,1,2023-03-02,150.0,3.8,2023-03-27,VIP
1097,P105,C_044,150.0,1,2023-03-18,150.0,4.9,2023-03-21,Non-VIP
1098,P103,C_051,30.0,5,2023-07-03,150.0,1.3,2023-03-10,VIP
1099,P104,C_084,75.0,3,2023-06-01,225.0,3.4,2023-03-31,Non-VIP
1100,P104,C_011,120.0,5,2023-03-29,600.0,3.6,2023-02-08,VIP
1101,P102,C_057,30.0,1,2023-03-27,30.0,1.2,2023-02-20,VIP
1103,P103,C_096,30.0,3,2023-02-21,90.0,4.1,2023-01-07,Non-VIP
1104,P103,C_081,75.0,2,2023-02-23,150.0,1.9,2023-03-15,VIP
1106,P103,C_062,120.0,1,2023-02-08,120.0,3.7,2023-02-18,VIP
1108,P104,C_067,30.0,1,2023-01-28,30.0,2.1,2023-03-26,VIP
1110,P105,C_053,150.0,2,2023-03-28,300.0,3.8,2023-03-27,VIP
1111,P102,C_036,75.0,1,2023-06-01,75.0,1.8,2023-01-05,VIP
1112,P104,C_089,150.0,4,2023-02-23,600.0,3.8,2023-01-03,VIP
1115,P101,C_065,75.0,2,2023-03-31,150.0,2.8,2023-03-05,VIP
1116,P104,C_017,120.0,2,2023-01-16,240.0,3.2,2023-01-04,VIP
1118,P103,C_067,120.0,1,2023-03-06,120.0,2.6,2023-03-31,VIP
1119,P105,C_068,75.0,1,2023-03-02,75.0,2.3,2023-01-22,VIP
1121,P102,C_046,30.0,1,2023-06-02,30.0,4.4,2023-01-06,VIP
1122,P103,C_053,250.5,5,2023-11-01,1252.5,2.7,2023-04-01,VIP
1123,P102,C_040,30.0,1,2023-01-20,30.0,2.0,2023-01-06,Non-VIP
1125,P104,C_064,150.0,2,2023-02-23,300.0,4.1,2023-02-26,VIP
1126,P105,C_013,120.0,4,2023-03-03,480.0,1.3,2023-01-06,Non-VIP
1128,P105,C_088,75.0,4,2023-01-29,300.0,3.2,2023-01-05,VIP
1129,P104,C_073,150.0,4,2023-02-13,600.0,3.2,2023-03-03,VIP
1130,P104,C_032,30.0,2,2023-03-21,60.0,2.5,2023-01-25,VIP
1132,P101,C_093,30.0,2,2023-01-03,60.0,3.1,2023-02-19,Non-VIP
1133,P101,C_044,30.0,3,2023-01-28,90.0,2.6,2023-02-24,Non-VIP
1134,P103,C_054,30.0,3,2023-02-23,90.0,2.8,2023-02-17,VIP
1137,P101,C_042,75.0,1,2023-03-21,75.0,1.4,2023-04-01,Non-VIP
1138,P102,C_027,30.0,1,2023-01-15,30.0,1.3,2023-01-26,VIP
1141,P103,C_024,120.0,1,2023-09-02,120.0,2.3,2023-03-25,Non-VIP
1144,P101,C_083,150.0,3,2023-03-10,450.0,1.4,2023-03-26,VIP
1145,P103,C_019,120.0,1,2023-02-13,120.0,1.3,2023-01-28,Non-VIP
1146,P104,C_073,150.0,4,2023-02-16,600.0,3.2,2023-03-03,VIP
1148,P103,C_089,120.0,4,2023-03-01,480.0,2.4,2023-02-08,VIP
1149,P105,C_045,250.5,2,2023-01-12,501.0,4.0,2023-03-26,Non-VIP
1151,P104,C_054,150.0,4,2023-11-02,600.0,1.9,2023-03-17,VIP
1152,P104,C_038,250.5,3,2023-02-13,751.5,2.5,2023-02-17,VIP
1153,P105,C_046,120.0,1,2023-08-03,120.0,3.4,2023-03-22,VIP
1155,P102,C_099,30.0,1,2023-03-04,30.0,3.8,2023-01-13,VIP
