sale_id,product_id,customer_id,sale_price,quantity,sale_date
1001,P101,C_001,$150.00,2,15-01-2023
1002,P102,C_002,$75,3,01/20/2023
1003,P103,C_001,$250.50,1,25-01-2023
1004,P101,C_003,$150.00,4,01-02-2023
1005,P104,C_004,$30.00,,05-02-2023
1006,P102,C_005,$75,2,10-02-2023
1007,P105,C_003,120,1,02/15/2023
1008,P101,C_006,$150,3,20-02-2023
1009,P103,C_007,,2,25-02-2023
1010,P104,C_008,$30.00,5,01-03-2023
1011,P102,C_009,$75,1,05-03-2023
1012,P105,C_001,$120.00,3,10-03-2023
1013,P103,C_010,250.5,1,15-03-2023
1014,P101,C_014,,3,01-02-2023
1015,P102,C_024,,,11-03-2023
1016,P105,C_065,$150.00,1,12-01-2023
1017,P102,C_075,120,1,13-03-2023
1018,P105,C_064,$75,4,03/17/2023
1019,P101,C_031,,4,02/13/2023
1020,P102,C_038,$250.50,1,01-12-2023
1021,P101,C_056,$250.50,5,03-02-2023
1022,P104,C_079,$150.00,4,11-01-2023
1023,P103,C_091,120,3,15-03-2023
1024,P101,C_016,,2,07-02-2023
1025,P102,C_023,$30.00,3,28-02-2023
1026,P103,C_031,$250.50,3,27-01-2023
1027,P103,C_098,,1,19-03-2023
1028,P102,C_079,,2,01/21/2023
1029,P104,C_045,,,13-03-2023
1030,P103,C_018,$75,1,02-10-2023
1031,P103,C_019,$75,5,10-02-2023
1032,P104,C_061,,4,01/19/2023
1033,P102,C_042,,5,03-10-2023
1034,P105,C_065,120,4,16-02-2023
1035,P102,C_076,$30.00,1,07-01-2023
1036,P102,C_091,$75,,24-02-2023
1037,P101,C_060,$30.00,5,01-03-2023
1038,P103,C_081,$150.00,,15-01-2023
1039,P105,C_045,,3,01/15/2023
1040,P104,C_031,$30.00,1,03-02-2023
1041,P102,C_075,$150.00,,08-02-2023
1042,P105,C_088,$75,2,17-02-2023
1043,P105,C_078,$150.00,5,02-11-2023
1044,P101,C_025,$250.50,3,31-01-2023
1045,P102,C_083,$150.00,1,04-03-2023
1046,P105,C_027,$75,,02-03-2023
1047,P102,C_044,120,5,24-02-2023
1048,P105,C_099,$75,,02-09-2023
1049,P103,C_067,120,4,16-01-2023
1050,P102,C_019,$250.50,1,17-03-2023
1051,P102,C_086,$75,1,10-01-2023
1052,P101,C_040,$150.00,1,12-02-2023
1053,P105,C_041,$250.50,,04-03-2023
1054,P105,C_027,,5,03/15/2023
1055,P102,C_071,$30.00,2,13-01-2023
1056,P104,C_056,$30.00,4,01-03-2023
1057,P101,C_097,,,13-01-2023
1058,P104,C_054,$150.00,2,25-01-2023
1059,P105,C_068,$75,4,01/24/2023
1060,P104,C_042,$150.00,4,12-03-2023
1061,P101,C_094,120,1,12-01-2023
1062,P102,C_063,$30.00,4,01/28/2023
1063,P101,C_032,$30.00,1,02/19/2023
1064,P104,C_047,$30.00,,13-03-2023
1065,P104,C_030,$75,3,28-01-2023
1066,P105,C_080,$150.00,,10-02-2023
1067,P101,C_085,$30.00,5,09-03-2023
1068,P101,C_076,$150.00,2,09-01-2023
1069,P101,C_097,$75,4,16-01-2023
1070,P102,C_085,120,1,21-03-2023
1071,P104,C_095,120,5,03-08-2023
1072,P103,C_037,,,10-02-2023
1073,P103,C_061,$75,,03/24/2023
1074,P104,C_051,$150.00,1,28-02-2023
1075,P105,C_023,$150.00,5,28-01-2023
1076,P103,C_027,$250.50,1,02-01-2023
1077,P103,C_031,$30.00,5,04-01-2023
1078,P105,C_094,120,1,27-03-2023
1079,P103,C_095,$150.00,2,03-02-2023
1080,P101,C_081,$75,3,06-02-2023
1081,P102,C_054,$75,,03/23/2023
1082,P105,C_073,$250.50,1,12-01-2023
1083,P104,C_046,$150.00,1,12-02-2023
1084,P103,C_031,,4,12-03-2023
1085,P104,C_082,$150.00,1,10-01-2023
1086,P102,C_080,$150.00,3,16-03-2023
1087,P102,C_066,$75,1,02-09-2023
1088,P101,C_056,$75,,01-02-2023
1089,P101,C_056,120,4,21-03-2023
1090,P102,C_041,$75,2,22-02-2023
1091,P102,C_053,$30.00,,02-01-2023
1092,P102,C_024,$30.00,1,02-03-2023
1093,P102,C_069,$250.50,3,30-01-2023
1094,P101,C_095,$75,4,02-12-2023
1095,P101,C_046,$250.50,,03-07-2023
1096,P105,C_053,$150.00,1,03-02-2023
1097,P105,C_044,$150.00,1,03/18/2023
1098,P103,C_051,$30.00,5,07-03-2023
1099,P104,C_084,$75,3,06-01-2023
1100,P104,C_011,120,5,29-03-2023
1101,P102,C_057,$30.00,1,03/27/2023
1102,P105,C_051,,1,08-02-2023
1103,P103,C_096,$30.00,3,21-02-2023
1104,P103,C_081,$75,2,23-02-2023
1105,P104,C_097,,2,20-03-2023
1106,P103,C_062,120,1,02-08-2023
1107,P102,C_066,120,5,03/25/2023
1108,P104,C_067,$30.00,,28-01-2023
1109,P104,C_032,,1,06-02-2023
1110,P105,C_053,$150.00,2,03/28/2023
1111,P102,C_036,$75,1,06-01-2023
1112,P104,C_089,$150.00,4,23-02-2023
1113,P105,C_035,,,02/19/2023
1114,P104,C_042,$75,,30-03-2023
1115,P101,C_065,$75,2,31-03-2023
1116,P104,C_017,120,2,01/16/2023
1117,P102,C_070,,5,13-03-2023
1118,P103,C_067,120,,03-06-2023
1119,P105,C_068,$75,,03-02-2023
1120,P103,C_042,,3,03-08-2023
1121,P102,C_046,$30.00,1,06-02-2023
1122,P103,C_053,$250.50,5,11-01-2023
1123,P102,C_040,$30.00,,20-01-2023
1124,P102,C_019,$30.00,4,12-02-2023
1125,P104,C_064,$150.00,2,02/23/2023
1126,P105,C_013,120,4,03-03-2023
1127,P103,C_049,$30.00,4,10-03-2023
1128,P105,C_088,$75,4,01/29/2023
1129,P104,C_073,$150.00,4,13-02-2023
1130,P104,C_032,$30.00,2,21-03-2023
1131,P101,C_061,120,5,26-03-2023
1132,P101,C_093,$30.00,2,01-03-2023
1133,P101,C_044,$30.00,3,01/28/2023
1134,P103,C_054,$30.00,3,02/23/2023
1135,P101,C_071,$150.00,,11-03-2023
1136,P103,C_039,,1,25-03-2023
1137,P101,C_042,$75,1,21-03-2023
1138,P102,C_027,$30.00,,15-01-2023
1139,P102,C_070,,3,17-02-2023
1140,P105,C_088,,,15-01-2023
1141,P103,C_024,120,1,09-02-2023
1142,P104,C_061,,2,10-01-2023
1143,P102,C_024,,3,29-03-2023
1144,P101,C_083,$150.00,3,03-10-2023
1145,P103,C_019,120,,13-02-2023
1146,P104,C_073,$150.00,4,16-02-2023
1147,P104,C_030,$30.00,2,08-03-2023
1148,P103,C_089,120,4,03-01-2023
1149,P105,C_045,$250.50,2,01-12-2023
1150,P104,C_042,$30.00,5,20-03-2023
1151,P104,C_054,$150.00,4,11-02-2023
1152,P104,C_038,$250.50,3,02/13/2023
1153,P105,C_046,120,1,08-03-2023
1154,P101,C_041,,4,04-03-2023
1155,P102,C_099,$30.00,,03-04-2023
1156,P101,C_022,$250.50,2,21-02-2023
1157,P102,C_050,,5,02/17/2023
1158,P105,C_078,$250.50,4,03-12-2023
1159,P103,C_069,$250.50,3,02-02-2023
1160,P101,C_035,$250.50,1,10-03-2023
1161,P102,C_035,$75,,03-03-2023
1162,P105,C_078,120,3,13-01-2023
1163,P103,C_040,$250.50,2,08-02-2023
1164,P105,C_027,$250.50,1,07-01-2023
1165,P103,C_027,,4,14-01-2023
1166,P105,C_047,$30.00,4,02/26/2023
1167,P102,C_017,$250.50,4,15-01-2023
1168,P104,C_073,$150.00,5,22-03-2023
1169,P101,C_030,$75,5,08-02-2023
1170,P102,C_026,120,4,19-03-2023
1171,P105,C_039,120,4,02/27/2023
1172,P103,C_086,$30.00,3,14-03-2023
1173,P101,C_089,,1,27-01-2023
1174,P102,C_044,,1,21-01-2023
1175,P102,C_081,$150.00,2,01-01-2023
1176,P104,C_099,120,4,07-02-2023
1177,P102,C_047,,3,03/31/2023
1178,P101,C_098,$75,3,22-03-2023
1179,P102,C_065,$150.00,5,29-01-2023
1180,P102,C_045,$75,1,08-01-2023
1181,P103,C_087,,5,02-06-2023
1182,P101,C_070,,3,03/31/2023
1183,P103,C_075,120,4,26-02-2023
1184,P105,C_016,$30.00,,11-02-2023
1185,P103,C_014,$150.00,2,28-03-2023
1186,P105,C_013,,3,15-03-2023
1187,P102,C_071,120,,02/26/2023
1188,P102,C_085,$30.00,,04-03-2023
1189,P104,C_055,$30.00,3,11-02-2023
1190,P101,C_031,$250.50,4,03/30/2023
1191,P103,C_095,$30.00,5,01-05-2023
1192,P101,C_051,$250.50,3,01/15/2023
1193,P105,C_011,,5,03-01-2023
1194,P101,C_035,120,3,03/21/2023
1195,P104,C_017,$75,3,12-03-2023
1196,P103,C_067,,4,16-01-2023
1197,P105,C_041,,2,09-02-2023
1198,P101,C_081,$30.00,1,29-01-2023
1199,P104,C_026,,2,05-03-2023
1200,P103,C_076,,3,02/23/2023
1201,P104,C_042,$30.00,5,01/19/2023
1202,P102,C_087,120,,18-01-2023
1203,P103,C_064,$250.50,5,04-02-2023
1204,P103,C_049,120,5,03/26/2023
1205,P102,C_068,120,4,02/14/2023
1206,P105,C_080,$30.00,4,11-02-2023
1207,P102,C_084,$30.00,2,22-02-2023
1208,P103,C_071,,4,19-02-2023
1209,P102,C_074,$150.00,2,06-03-2023
1210,P103,C_023,$30.00,1,03-09-2023
1211,P101,C_029,$30.00,,20-01-2023
1212,P104,C_044,$250.50,5,03/30/2023
1213,P101,C_053,,5,02/18/2023
1214,P104,C_080,$150.00,5,09-01-2023
1215,P103,C_040,,1,25-02-2023
1216,P101,C_067,$75,,08-02-2023
1217,P101,C_052,$150.00,3,02/15/2023
1218,P104,C_029,$75,5,22-02-2023
